Title,Author,Genre,Words,Pages
Jane Eyre,Charlotte Bronte,Fiction,183858,672
The Other Einstein,Marie Benedict,Fiction,80070,336
Letting God Be Enough,Erica Wiggenhorn,Non-Fiction,32000,208
The Mystery of the Blue Train,Agatha Christie,Fiction,65940,320
And Then There Were None,Agatha Christie,Fiction,64000,256
The Emotionally Healthy Woman,Geri Scazzero,Non-Fiction,41000,224
The Girl He Used to Know,Tracey Garvis Graves,Fiction,76930,304
Growing Slow,Jennifer Dukes Lee,Non-Fiction,29673,272
Tuesdays with Morrie,Mitch Albom,Fiction,36267,224
The A.B.C. Murders,Agatha Christie,Fiction,56520,272
Letters to the Church,Francis Chan,Non-Fiction,50554,224
Finish,Jon Acuff,Non-Fiction,46786,208
At Bertram's Hotel,Agatha Christie,Fiction,45000,180
The Screwtape Letters,C.S. Lewis,Fiction,37680,209
Of Mice and Men,John Steinbeck,Fiction,29987,112
Where the Crawdads Sing,Delia Owens,Fiction,113615,384
Loving My Actual Neighbor,Alexandra Kuykendall,Non-Fiction,31000,224
Nine Stories,J.D. Salinger,Fiction,80000,320
Beartown,Frederik Backman,Fiction,122450,432
People We Meet On Vacation,Emily Henry,Fiction,100776,400
Beginner's Pluck,Liz Bohannon,Non-Fiction,45000,224
Us Against You,Frederik Backman,Fiction,132835,448
Is God anti-gay?,Sam Alberry,Non-Fiction,17427,93
Beholding and Becoming,Ruth Chou Simons,Non-Fiction,25905,224
A Nearly Normal Family,M.T. Edvardsson,Fiction,116560,544
Crazy Busy,Kevin DeYoung,Non-Fiction,28260,128
